FCI_Group,Group_Name,Breeds
1,Hütehunde und Treibhunde (ohne Schweizer Sennenhunde),Deutscher Schäferhund;Border Collie;Australian Shepherd;Langhaariger Schottischer Schäferhund / Collie Rough;Kurzhaariger Schottischer Schäferhund / Collie Smooth;Shetland Sheepdog / Sheltie;Welsh Corgi Pembroke;Welsh Corgi Cardigan;Old English Sheepdog / Bobtail;Beauceron / Berger de Beauce;Briard / Berger de Brie;Bouvier des Flandres;Kuvasz;Komondor;Puli;Pumi;Mudi;Australian Cattle Dog;Belgischer Schäferhund (Groenendael / Laekenois / Malinois / Tervueren);Chodský Pes / Böhmischer Schäferhund;Schapendoes;Bergamasker Hirtenhund / Bergamasco;Katalanischer Schäferhund / Gos d'Atura Català;Tschechoslowakischer Wolfhund;Saarlooswolfhond
2,Pinscher und Schnauzer – Molosser – Schweizer Sennenhunde,Dobermann;Zwergpinscher;Deutscher Pinscher;Riesenschnauzer;Schnauzer / Mittelschnauzer;Zwergschnauzer;Deutsche Dogge;Rottweiler;St. Bernhardshund / Bernhardiner;Leonberger;Landseer;Neufundländer;Deutscher Boxer / Boxer;Hovawart;Großer Schweizer Sennenhund;Berner Sennenhund;Appenzeller Sennenhund;Entlebucher Sennenhund;Mastiff;Bullmastiff;Bordeauxdogge;Cane Corso Italiano;Dogo Argentino;Shar Pei;Pyrenäenberghund;Mastino Napoletano;Do Khyi / Tibet-Mastiff;Continental Bulldog;Kaukasischer Owtscharka;Zentralasiatischer Owtscharka;Kangal-Hirtenhund / Kangal
3,Terrier,Airedale Terrier;Deutscher Jagdterrier;Jack Russell Terrier;Parson Russell Terrier;Cairn Terrier;West Highland White Terrier;Yorkshire Terrier;Bullterrier;Miniature Bull Terrier;Staffordshire Bullterrier;American Staffordshire Terrier;Border Terrier;Foxterrier (Drahthaar);Foxterrier (Glatthaar);Schottischer Terrier / Scottish Terrier;Welsh Terrier;Irish Terrier;Kerry Blue Terrier;Soft Coated Wheaten Terrier;Manchester Terrier;Bedlington Terrier;Skye Terrier;Norwich Terrier;Norfolk Terrier
4,Dachshunde,Teckel / Dachshund (Kurzhaar);Teckel / Dachshund (Rauhaar);Teckel / Dachshund (Langhaar);Zwerg-Dachshund / Zwergteckel;Kaninchen-Dachshund / Kaninchenteckel
5,Spitze und Hunde vom Urtyp,Deutscher Spitz (Wolfspitz / Großspitz / Mittelspitz / Kleinspitz / Zwergspitz / Pomeranian);Akita;American Akita;Shiba Inu;Chow-Chow;Samojede;Siberian Husky;Alaskan Malamute;Basenji;Thai Ridgeback;Canaan Dog;Peruanischer Nackthund / Perro sin Pelo del Perú;Mexikanischer Nackthund / Xoloitzcuintle;Islandhund;Finnischer Lapphund;Schwedischer Lapphund;Lapinporokoira / Rentierhütehund;Norrbottenspitz;Norwegischer Elghund;Eurasier
6,"Laufhunde, Schweißhunde und verwandte Rassen",Beagle;Basset Hound;Dalmatiner;Rhodesian Ridgeback;Bayerischer Gebirgsschweißhund;Hannoverscher Schweißhund;Alpenländische Dachsbracke;Hubertushund / Bloodhound;Grand Bleu de Gascogne;Petit Basset Griffon Vendéen;Schwedische Dachsbracke / Drever;Deutsche Bracke;Foxhound
7,Vorstehhunde,Deutsch Kurzhaar;Deutsch Drahthaar;Deutsch Langhaar;Weimaraner;Kurzhaariger Ungarischer Vorstehhund / Vizsla;Pointer / English Pointer;English Setter;Gordon Setter;Irish Red Setter;Bretonischer Vorstehhund / Épagneul Breton;Kleiner Münsterländer;Großer Münsterländer;Pudelpointer;Griffon Korthals;Irish Red and White Setter
8,Apportierhunde – Stöberhunde – Wasserhunde,Golden Retriever;Labrador Retriever;Flat Coated Retriever;Nova Scotia Duck Tolling Retriever;Curly Coated Retriever;Chesapeake Bay Retriever;English Cocker Spaniel;English Springer Spaniel;Welsh Springer Spaniel;Deutscher Wachtelhund;Clumber Spaniel;Sussex Spaniel;Field Spaniel;Portugiesischer Wasserhund / Cão de Água Português;Italienischer Trüffelhund / Lagotto Romagnolo;Spanischer Wasserhund / Perro de Agua Español
9,Gesellschafts- und Begleithunde,Pudel (Großpudel / Kleinpudel / Zwergpudel / Toypudel);Mops;Französische Bulldogge;Boston Terrier;Chihuahua;Cavalier King Charles Spaniel;King Charles Spaniel;Malteser;Havaneser;Bichon Frisé;Bologneser;Löwchen;Coton de Tuléar;Shih Tzu;Pekingese;Tibet Terrier;Lhasa Apso;Tibet Spaniel;Chinesischer Schopfhund / Chinese Crested Dog;Kontinentaler Zwergspaniel (Papillon / Phalène);Kromfohrländer
10,Windhunde,Greyhound;Whippet;Italienisches Windspiel;Afghanischer Windhund / Afghane;Barsoi;Saluki;Irischer Wolfshund / Irish Wolfhound;Schottischer Hirschhund / Deerhound;Azawakh;Sloughi;Galgo Español;Chart Polski;Ungarischer Windhund / Magyar Agár
