FCI_Group,Group_Name,Breeds
1,Chiens de berger et de bouvier (sauf chiens de bouvier suisses),Berger Allemand;Berger Belge;Berger Américain Miniature;Berger Australen / Berger Australien;Berger Blanc Suisse;Berger de Beauce / Beauceron;Berger de Brie / Briard;Berger des Pyrénées à poil long;Berger des Pyrénées à face rase;Berger de Picardie / Berger Picard;Berger Hollandais;Berger Polonais de Plaine;Berger de Maremme et des Abruzzes;Berger Catalan;Berger Shetland / Chien de Berger de Shetland;Colley à poil long;Colley à poil court;Welsh Corgi Pembroke;Welsh Corgi Cardigan;Bouvier des Flandres;Bouvier Australien / Australian Cattle Dog;Chien Loup Tchécoslovaque;Chien Loup de Saarloos;Komondor;Kuvasz;Puli;Pumi;Mudi;Berger de Russie Méridionale
2,Chiens de type Pinscher et Schnauzer - Molossoïdes - Chiens de montagne et de bouvier suisses,Dobermann;Pinscher Moyen;Pinscher Nain / Zwergpinscher;Schnauzer Géant;Schnauzer Moyen;Schnauzer Nain;Dogue Allemand;Rottweiler;Dogue de Bordeaux;Chien de Montagne des Pyrénées;Saint-Bernard;Chien de Terre-Neuve / Terre-Neuve;Leonberg / Leonberger;Cane Corso / Chien de Cour Italien;Dogue Argentin / Dogo Argentino;Shar Pei;Boxer;Bulldog Anglais;Bullmastiff;Mastiff;Dogue du Tibet;Hovawart;Landseer;Bouvier Bernois;Grand Bouvier Suisse;Bouvier d'Appenzell;Bouvier d'Entlebuch;Fila Brasileiro;Dogue Canarien / Presa Canario;Dogue de Majorque / Ca de Bou
3,Terriers,Yorkshire Terrier;American Staffordshire Terrier;Staffordshire Bull Terrier;Bull Terrier;Bull Terrier Miniature;Fox Terrier à poil lisse;Fox Terrier à poil dur;Jack Russell Terrier;Parson Russell Terrier;Cairn Terrier;Scottish Terrier / Terrier Écossais;West Highland White Terrier;Airedale Terrier;Border Terrier;Bedlington Terrier;Kerry Blue Terrier;Irish Soft Coated Wheaten Terrier / Terrier Irlandais à poil doux;Terrier Irlandais;Welsh Terrier;Terrier de Chasse Allemand / Jagdterrier;Skye Terrier;Norwich Terrier;Norfolk Terrier;Dandie Dinmont Terrier;Manchester Terrier;Terrier Brésilien
4,Teckels,Teckel Standard;Teckel Nain;Teckel Kaninchen
5,Chiens de type Spitz et de type primitif,Husky Sibérien;Malamute de l'Alaska;Samoyède;Spitz Allemand / Loulou de Poméranie;Spitz Japonais;Akita / Akita Inu;Akita Américain;Shiba / Shiba Inu;Chow-Chow;Basenji;Chien Nu du Pérou;Chien Nu du Mexique / Xoloitzcuintle;Eurasier;Chien Finnois de Laponie / Finnois de Laponie;Spitz des Visigoths / Vallhund Suédois;Chien de Canaan;Podenco Ibicenco / Chien de Garenne des Baléares;Podenco Canario / Chien de Garenne des Canaries;Cirneco de l'Etna;Karelian Bear Dog / Chien d'Ours de Karélie
6,"Chiens courants, chiens de recherche au sang et races apparentées",Beagle;Basset Hound;Chien de Saint-Hubert;Grand Bleu de Gascogne;Petit Bleu de Gascogne;Basset Bleu de Gascogne;Basset Artésien Normand;Basset Fauve de Bretagne;Grand Griffon Vendéen;Briquet Griffon Vendéen;Grand Basset Griffon Vendéen;Petit Basset Griffon Vendéen;Porcelaine;Chien Rouge de Bavière;Chien Rouge de Hanovre;Dalmatien;Rhodesian Ridgeback / Chien de Courant Rhodésien à Crête Dorsale;Foxhound Anglais;Harrier;Beagle-Harrier;Bruno du Jura;Chien Courant Italien
7,Chiens d'arrêt,Pointer / Pointer Anglais;Setter Anglais;Setter Gordon;Setter Irlandais Rouge;Braque Français;Braque de Weimar;Braque Allemand;Braque du Bourbonnais;Braque d'Auvergne;Braque Saint-Germain;Épagneul Breton;Épagneul Français;Épagneul Picard;Épagneul Bleu de Picardie;Épagneul de Pont-Audemer;Griffon d'Arrêt à Poil Dur Korthals / Griffon Korthals;Drahthaar / Chien d'Arrêt Allemand à Poil Dur;Braque Hongrois / Vizsla
8,"Chiens leveurs de gibier, chiens rapporteurs de gibier, chiens d'eau",Golden Retriever;Labrador Retriever;Retriever à Poil Plat / Flat-Coated Retriever;Chesapeake Bay Retriever;Curly-Coated Retriever / Retriever à Poil Bouclé;Nova Scotia Duck Tolling Retriever / Retriever de la Nouvelle-Écosse;Cocker Spaniel Anglais;Cocker Spaniel Américain;Springer Spaniel Anglais;Field Spaniel;Clumber Spaniel;Welsh Springer Spaniel;Chien d'eau romagnol / Lagotto Romagnolo;Chien d'eau Français / Barbet;Chien d'eau Espagnol;Chien d'eau Portugais;Wachtelhund / Chien d'Oysel Allemand
9,Chiens d'agrément et de compagnie,Bichon Frisé;Bichon Maltais;Bichon Havanais;Bichon Bolonais / Bolognese;Petit Chien Lion;Coton de Tuléar;Caniche;Cavalier King Charles Spaniel;King Charles Spaniel;Chihuahua;Épagneul Nain Continental / Papillon;Épagneul Nain Continental / Phalène;Épagneul Japonais / Chin;Épagneul Pekinois / Pékinois;Shih Tzu;Lhassa Apso;Bouledogue Français;Carlin;Boston Terrier;Chien Chinois à Crête;Tibet Spaniel / Épagneul du Tibet;Terrier Tibétain
10,Lévriers,Lévrier Afghan;Saluki / Lévrier Persan;Barzoï / Lévrier d'Asie;Irish Wolfhound / Lévrier Irlandais;Deerhound / Lévrier Écossais;Greyhound / Lévrier Anglais;Whippet;Petit Lévrier Italien;Sloughi / Lévrier Arabe;Azawakh;Galgo Espagnol / Lévrier Espagnol;Lévrier Hongrois / Magyar Agar;Lévrier Polonais
