FCI_Group,Group_Name,Breeds
1,Herdershonden en veehoeders,Duitse Herdershond;Mechelse Herder;Tervuerense Herder;Groenendaler;Laekenois;Hollandse Herder;Saarlooswolfhond;Nederlandse Schapendoes / Schapendoes;Border Collie;Australische Herder / Australian Shepherd;Schotse Herder / Collie;Welsh Corgi Pembroke;Welsh Corgi Cardigan;Bouvier des Flandres / Vlaamse Koehond;Briard;Beauceron;Tsjechoslowaakse Wolfhond;Zwitserse Witte Herder;Australian Kelpie;Shetland Sheepdog / Sheltie;Old English Sheepdog / Bobtail;Komondor;Puli;Kuvasz
2,"Pinschers, schnauzers, molossers en Zwitserse sennenhonden",Dobermann;Dwergpinscher;Oostenrijkse Pinscher;Riesenschnauzer;Middenslag Schnauzer;Dwergschnauzer;Boxer;Duitse Dog;Rottweiler;Engelse Bulldog;Shar-Pei;Bordeauxdog;Mastiff;Mastino Napoletano;Bullmastiff;Cane Corso;Newfoundlander;Sint-Bernardshond / Sint Bernard;Berner Sennenhond;Grote Zwitserse Sennenhond;Appenzeller Sennenhond;Entlebucher Sennenhond;Hovawart;Leonberger;Landseer;Pyreneese Berghond
3,Terriërs,Airedale Terrier;Bedlington Terrier;Border Terrier;Bull Terrier;Miniatuur Bull Terrier;Cairn Terrier;Kortharige Foxterrier;Ruwharige Foxterrier;Irish Terrier;Jack Russell Terrier;Parson Russell Terrier;Kerry Blue Terrier;Lakeland Terrier;Manchester Terrier;Norwich Terrier;Norfolk Terrier;Schotse Terrier;Sealyham Terrier;Skye Terrier;Staffordshire Bull Terrier;American Staffordshire Terrier;West Highland White Terrier;Yorkshire Terrier
4,Dashonden,Kortharige Teckel / Dashond;Langharige Teckel / Dashond;Ruwharige Teckel / Dashond;Dwergteckel;Kaninchen Teckel
5,Spitsen en oertypen,Samojeed;Alaskan Malamute;Siberian Husky;Akita;Shiba;Basenji;Chow Chow;Keeshond / Wolfsgrijze Keeshond;Grote Keeshond;Middenslag Keeshond;Kleine Keeshond;Dwergkeeshond / Pomeranian;Finse Spits;Noorse Elandhond;Thai Ridgeback;Podenco Ibicenco;Cirneco dell'Etna;Canaan Dog;Laplandse Herder
6,Lopende honden en zweethonden,Beagle;Basset Hound;Sint-Hubertushond / Bloodhound;Dalmatiër / Dalmatische Hond;Rhodesian Ridgeback / Rifhond;Petit Basset Griffon Vendéen;Grand Basset Griffon Vendéen;Porcelaine;Drever;Bayerischer Gebirgsschweisshund;Hannoverscher Schweisshund
7,Voorstaande honden,Friese Stabij / Stabijhoun;Drentsche Patrijshond;Engelse Setter;Gordon Setter;Ierse Setter;Pointer / Engelse Pointer;Duitse Staande Hond Korthaar;Duitse Staande Hond Langhaar;Duitse Staande Hond Ruwhaar;Epagneul Breton;Kortharige Vizsla;Draadharige Vizsla;Weimaraner Korthaar;Weimaraner Langhaar;Cesky Fousek;Spinone Italiano / Italiaanse Spinone;Bracco Italiano
8,"Apporterende, opstotende en waterhonden",Labrador Retriever;Golden Retriever;Flatcoated Retriever;Curly Coated Retriever;Nova Scotia Duck Tolling Retriever / Toller;Chesapeake Bay Retriever;Engelse Cocker Spaniel;Amerikaanse Cocker Spaniel;Welsh Springer Spaniel;Engelse Springer Spaniel;Nederlands Kooikerhondje / Kooikerhondje;Wetterhoun;Portugese Waterhond;Spaanse Waterhond;Barbet;Clumber Spaniel
9,Gezelschapshonden,Maltezer;Havanezer;Bichon Frisé;Bolognezer;Toypoedel;Dwergpoedel;Middenslagpoedel;Grote Poedel / Koningspoedel;Chihuahua;Mopshond;Franse Bulldog;Cavalier King Charles Spaniel;King Charles Spaniel;Pekingees;Shih Tzu;Lhasa Apso;Tibetaanse Terrier;Chinese Naakthond;Vlinderhondje / Papillon;Nachtvlinderhondje / Phalène;Boston Terrier
10,Windhonden,Afgaanse Windhond / Afghan Hound;Barsoi / Borzoi;Ierse Wolfshond;Greyhound;Whippet;Italiaans Windhondje;Saluki;Sloughi;Azawakh;Deerhound / Schotse Hertenhond;Galgo Español / Spaanse Galgo
