FCI_Groep,Nederlandse_Naam,Gedefinieerde_Rassen
1,Herdershonden en veedrijvers,Duitse Herdershond; Border Collie; Mechelse Herder; Schapendoes; Hollandse Herdershond; Groenendael; Tervuerense Herder; Shetland Sheepdog (Sheltie); Welsh Corgi Pembroke; Welsh Corgi Cardigan; Bearded Collie; Old English Sheepdog (Bobtail); Australian Shepherd; Bouvier des Flandres; Saarlooswolfhond; Zwitserse Witte Herdershond; Schipperke; Kuvasz; Briard; Puli
2,Pinschers; Schnauzers; Molossers en Sennenhonden,Boxer; Rottweiler; Berner Sennenhond; Dwergpinscher; Dobermann; Middenslag Schnauzer; Dwergschnauzer; Grote Schnauzer; Duitse Dog; Leonberger; Newfoundlander; Sint Bernard; Engelse Bulldog; Bullmastiff; Bordeauxdog; Mastiff; Cane Corso; Hovawart; Landseer ECT; Grote Zwitserse Sennenhond; Appenzeller Sennenhond; Entlebucher Sennenhond; Pyrenese Berghond; Shar-Pei; Affenpinscher
3,Terriërs,Jack Russell Terriër; Cairn Terriër; Stafford Bull Terriër; American Staffordshire Terriër; Bull Terriër; Miniatuur Bull Terriër; West Highland White Terriër; Yorkshire Terriër; Foxterriër; Airedale Terriër; Border Terriër; Ierse Terriër; Schotse Terriër; Welsh Terriër; Parson Russell Terriër; Norfolk Terriër; Norwich Terriër; Soft Coated Wheaten Terriër; Bedlington Terriër; Kerry Blue Terriër
4,Dashonden,Kortharige Dashond; Ruwharige Dashond; Langharige Dashond; Dwergdashond Korthaar; Dwergdashond Ruwhaar; Dwergdashond Langhaar; Kaninchen Dashond (Teckels)
5,Spitsen en oertypen,Siberische Husky; Akita; Chow Chow; Dwergkeeshond (Pomeranian); Grote Keeshond; Middenslag Keeshond; Samojeed; Alaskan Malamute; Shiba; American Akita; Basenji; Pharaohond; Finse Spits; Eurasiër; IJslandse Hond; Laplandse Herdershond; Podenco Ibicenco; Thai Ridgeback
6,Lopende honden en zweethonden,Beagle; Dalmatische Hond; Bloedhond; Basset Hound; Rhodesian Ridgeback; Grand Basset Griffon Vendéen; Petit Basset Griffon Vendéen; Duitse Brak; Foxhound; Hannoveraanse Zweethond; Beierse Bergzweethond; Otterhond; Schwyzer Laufhund; Porcelaine
7,Voorstaande honden,Duitse Staande Hond Korthaar; Duitse Staande Hond Draadhaar; Weimaraner; Drentsche Patrijshond; Pointer; Engelse Setter; Ierse Setter; Gordon Setter; Epagneul Breton; Viszla Korthaar; Viszla Draadhaar; Grote Münsterlander; Kleine Münsterlander; Cesky Fousek; Spinone Italiano
8,Retrievers; Spaniëls en Waterhonden,Golden Retriever; Labrador Retriever; Engelse Cocker Spaniël; Wetterhoun; Flatcoated Retriever; Nova Scotia Duck Tolling Retriever; Curly Coated Retriever; Chesapeake Bay Retriever; Amerikaanse Cocker Spaniël; Engelse Springer Spaniël; Welsh Springer Spaniël; Nederlandse Kooikerhondje; Clumber Spaniël; Barbet; Perro de Agua Español; Cao de Agua Português; Ierse Water Spaniël
9,Gezelschapshonden,Chihuahua; Franse Bulldog; Maltezer; Mopshond; Grote Poedel; Middenslag Poedel; Dwergpoedel; Toypoedel; Cavalier King Charles Spaniël; Shih Tzu; Lhasa Apso; Tibetaanse Terriër; Tibetaanse Spaniël; Pekingees; Havanezer; Bichon Frisé; Bolognezer; Coton de Tuléar; Papillon (Vlinderhondje); Phalène; King Charles Spaniël; Boston Terriër; Pug; Markiesje
10,Windhonden,Whippet; Greyhound; Afghaanse Windhond; Barsoi; Italiaans Windhondje; Saluki; Deerhound; Ierse Wolfshond; Azawakh; Sloughi; Galgo Español; Spaanse Windhond
