FCI_Group,Group_Name,Breeds
1,Herdershonden en Veedrijvers (behalve de Zwitserse Sennenhonden),Duitse Herdershond;Belgische Herdershond;Hollandse Herdershond;Nederlandse Schapendoes;Saarlooswolfhond;Bouvier des Flandres;Border Collie;Australian Shepherd;Shetland Sheepdog;Welsh Corgi Pembroke;Welsh Corgi Cardigan;Briard;Kuvasz;Komondor;Puli;Australian Cattle Dog;Tsjechoslowaakse Wolfhond;Zwitserse Witte Herdershond;Chodský pes;Bergamasco
2,"Pinschers en Schnauzers, Molossers, Zwitserse Sennenhonden en andere rassen",Dobermann;Dwergschnauzer;Middenslag Schnauzer;Riesenschnauzer;Duitse Dog;Boxer;Rottweiler;Engelse Bulldog;Bordeauxdog;Cane Corso;Bullmastiff;Mastiff;Sint-Bernard;Newfoundlander;Berner Sennenhond;Grote Zwitserse Sennenhond;Appenzeller Sennenhond;Entlebucher Sennenhond;Shar-Pei;Hovawart;Leonberger;Pyrenese Berghond;Landseer ECT;Dwergpinscher
3,Terriërs,Airedale Terriër;Jack Russell Terriër;Parson Russell Terriër;Foxterriër;Staffordshire Bull Terriër;American Staffordshire Terriër;Bull Terriër;Cairn Terriër;West Highland White Terriër;Yorkshire Terriër;Border Terriër;Schotse Terriër;Bedlington Terriër;Irish Glen of Imaal Terriër;Irish Soft Coated Wheaten Terriër;Welsh Terriër;Kerry Blue Terriër;Manchester Terriër
4,Dashonden,Standaard Teckel (Korthaar);Standaard Teckel (Langhaar);Standaard Teckel (Ruwhaar);Dwergteckel (Korthaar);Dwergteckel (Langhaar);Dwergteckel (Ruwhaar);Kaninchen Teckel (Korthaar);Kaninchen Teckel (Langhaar);Kaninchen Teckel (Ruwhaar)
5,Spitsen en oertypen,Siberische Husky;Alaskan Malamute;Samojeed;Akita;American Akita;Shiba;Chow Chow;Dwergkeeshond (Pomeranian);Grote Keeshond (Wolfskeeshond);Middenslag Keeshond;Kleine Keeshond;Basenji;Eurasier;Finse Spits;Noorse Elandhond;Podenco Ibicenco;Cirneco dell'Etna;Thai Ridgeback
6,Lopende honden en zweethonden,Beagle;Basset Hound;Bloedhond;Dalmatische Hond;Rhodesian Ridgeback;Grand Basset Griffon Vendéen;Petit Basset Griffon Vendéen;Basset Artesien Normand;Beierse Bergzweethond;Hannoveraanse Zweethond;Drever;Engelse Foxhound;Porcelaine
7,Staande honden,Drentsche Patrireshond;Friese Stabij;Duitse Staande Hond (Korthaar);Duitse Staande Hond (Langhaar);Duitse Staande Hond (Draadhaar);Weimaraner;Vizsla (Korthaar);Vizsla (Draadhaar);Epagneul Breton;Engelse Setter;Ierse Setter;Gordon Setter;Pointer;Grote Poedelpointer;Cesky Fousek
8,"Apporteerhonden, opstootjeshonden en waterhonden",Labrador Retriever;Golden Retriever;Flatcoated Retriever;Nova Scotia Duck Tolling Retriever;Curly Coated Retriever;Chesapeake Bay Retriever;Engelse Cocker Spaniel;Amerikaanse Cocker Spaniel;Engelse Springer Spaniel;Welsh Springer Spaniel;Nederlands Kooikerhondje;Wetterhoun;Lagotto Romagnolo;Spaanse Waterhond;Portugese Waterhond;Clumber Spaniel
9,Gezelschapshonden,Grote Poedel;Middenslag Poedel;Dwergpoedel;Toypoedel;Franse Bulldog;Mopshond;Chihuahua;Cavalier King Charles Spaniel;King Charles Spaniel;Maltezer;Shih Tzu;Lhasa Apso;Pekingees;Vlinderhondje (Papillon);Nachtvlinderhondje (Phalène);Bichon Frisé;Havanezer;Bolognezer;Coton de Tuléar;Chinese Naakthond;Boston Terriër;Löwchen
10,Windhonden,Greyhound;Whippet;Afgaanse Windhond;Saluki;Barsoi;Ierse Wolfshond;Schotse Hertenhond;Italiaans Windhondje;Azawakh;Sloughi;Spaanse Galgo;Chart Polski
