FCI_Group,Group_Name,Breeds
1,Herdershonden en Veehouders,Duitse Herdershond;Mechelse Herder;Hollandse Herder;Bouvier des Flandres;Border Collie;Australian Shepherd;Schapendoes;Welsh Corgi Pembroke;Welsh Corgi Cardigan;Shetland Sheepdog;Saarlooswolfhond;Komondor;Puli;Kuvasz;Briard;Beauceron;Tsjechoslowaakse Wolfhond;Zwitserse Witte Herder;Australian Kelpie;Schipperke
2,"Pinschers, Schnauzers, Molossers en Zwitserse Sennenhonden",Boxer;Duitse Dog;Rottweiler;Dobermann;Berner Sennenhond;Grote Zwitserse Sennenhond;Appenzeller Sennenhond;Entlebucher Sennenhond;Newfoundlander;Sint-Bernard;Engelse Bulldog;Bullmastiff;Mastiff;Dogo Argentino;Shar-Pei;Middenslag Schnauzer;Dwergschnauzer;Riesenschnauzer;Dwergpinscher;Affenpinscher;Cane Corso;Hovawart;Leonberger;Landseer ECT;Bordeauxdog
3,Terriërs,Airedale Terrier;Staffordshire Bull Terrier;American Staffordshire Terrier;Bull Terrier;Foxterriër Gladhaar;Foxterriër Draadhaar;Jack Russell Terrier;Cairn Terrier;West Highland White Terrier;Yorkshire Terrier;Irish Soft Coated Wheaten Terrier;Schotse Terrier;Border Terrier;Bedlington Terrier;Welsh Terrier;Kerry Blue Terrier
4,Teckels,Kortharige Teckel;Langharige Teckel;Ruwharige Teckel;Dwergteckel Korthaar;Dwergteckel Langhaar;Dwergteckel Ruwhaar;Kaninchen Teckel Korthaar;Kaninchen Teckel Langhaar;Kaninchen Teckel Ruwhaar
5,Spitsen en oertypen,Siberische Husky;Alaskan Malamute;Samojeed;Akita;Shiba;Keeshond;Chow Chow;Basenji;Finse Spits;Noorse Elandhond;Podenco Ibicenco;Podenco Canario;Cirneco dell'Etna;Zweedse Lappenhond;Laplandse Herdershond
6,Lopende honden en zweethonden,Beagle;Basset Hound;Dalmatiër;Rhodesian Ridgeback;Bloedhond;Basset Artésien Normand;Grand Basset Griffon Vendéen;Petit Basset Griffon Vendéen;Drever;Porcelaine;Beagle-Harrier
7,Voorstaande honden,Duitse Staande Hond Korthaar;Duitse Staande Hond Draadhaar;Duitse Staande Hond Langhaar;Weimaraner;Épagneul Breton;Stabijhoun;Wetterhoun;Drentsche Patrijshond;Vizsla Korthaar;Vizsla Draadhaar;Engelse Setter;Gordon Setter;Ierse Setter;Pointer;Spinone Italiano
8,"Apporterende, opstotende en waterhonden",Labrador Retriever;Golden Retriever;Flatcoated Retriever;Nova Scotia Duck Tolling Retriever;Curly Coated Retriever;Chesapeake Bay Retriever;Engelse Springer Spaniel;Welsh Springer Spaniel;Engelse Cocker Spaniel;Amerikaanse Cocker Spaniel;Het Nederlandse Kooikerhondje;Spaanse Waterhond;Portugese Waterhond;Barbet;Clumber Spaniel
9,Gezelschapshonden,Grote Poedel;Middenslag Poedel;Dwergpoedel;Toy Poedel;Franse Bulldog;Mopshond;Chihuahua;Cavalier King Charles Spaniel;King Charles Spaniel;Shih Tzu;Lhasa Apso;Tibetaanse Terrier;Pekinees;Maltezer;Havanezer;Bolognezer;Bichon Frisé;Vlinderhondje;Nachtvlinderhondje;Chinees Naakthondje;Boston Terrier
10,Windhonden,Greyhound;Whippet;Afghaanse Windhond;Saluki;Barsoi;Ierse Wolfshond;Schotse Hertenhond;Italiaans Windhondje;Galgo Español;Azawakh;Sloughi
