FCI_Group,Group_Name,Breeds
1,Herdershonden en Veehoeders,Duitse Herdershond;Belgische Herdershond Groenendaeler;Belgische Herdershond Mechelaar;Belgische Herdershond Tervueren;Belgische Herdershond Laekenois;Nederlandse Herdershond;Schapendoes;Saarlooswolfhond;Bouvier des Flandres;Zwitserse Witte Herdershond;Border Collie;Schotse Herdershond Langhaar;Schotse Herdershond Korthaar;Shetland Sheepdog;Welsh Corgi Pembroke;Welsh Corgi Cardigan;Australian Shepherd;Australian Cattle Dog;Komondor;Puli;Kuvasz;Briard;Beauceron;Maremmano-Abruzzese;Tschechoslowakische Wolfhond
2,"Pinschers, Schnauzers, Molossers en Zwitserse Sennenhonden",Dobermann;Duitse Pinscher;Dwergpinscher;Oostenrijkse Pinscher;Affenpinscher;Riesenschnauzer;Middenschnauzer;Dwergschnauzer;Duitse Dog;Boxer;Rottweiler;Engelse Bulldog;Bordeauxdog;Bullmastiff;Mastiff;Napolitaanse Mastiff;Cane Corso;Dogo Argentino;Shar-Pei;Berner Sennenhond;Grote Zwitserse Sennenhond;Appenzeller Sennenhond;Entlebucher Sennenhond;Sint-Bernard;Newfoundlander;Leonberger;Pyreneese Berghond;Landseer ECT;Hovawart;Deense Dog;Kaukasische Owcharka
3,Terriërs,Airedale Terrier;Bedlington Terrier;Border Terrier;Bull Terrier;Miniatuur Bull Terrier;Cairn Terrier;Fox Terrier Korthaar;Fox Terrier Ruwhaar;Jack Russell Terrier;Parson Russell Terrier;Kerry Blue Terrier;Lakeland Terrier;Manchester Terrier;Norwich Terrier;Norfolk Terrier;Scottish Terrier;Sealyham Terrier;Staffordshire Bull Terrier;American Staffordshire Terrier;Welsh Terrier;West Highland White Terrier;Yorkshire Terrier;Irish Terrier
4,Dashonden,Standaard Teckel Korthaar;Standaard Teckel Langhaar;Standaard Teckel Ruwhaar;Dwergteckel Korthaar;Dwergteckel Langhaar;Dwergteckel Ruwhaar;Kaninchen Teckel Korthaar;Kaninchen Teckel Langhaar;Kaninchen Teckel Ruwhaar
5,Spitsen en oertypen,Grote Keeshond;Middenslag Keeshond;Kleine Keeshond;Dwergkeeshond;Duitse Spitz;Akita;American Akita;Shiba;Alaskan Malamute;Siberian Husky;Samojeed;Chow Chow;Eurasier;Basenji;Pharaohond;Podenco Ibicenco;Cirneco dell'Etna;Noorse Elandhond;Zweedse Lappenhond;Finse Spits;West-Siberische Laika;Oost-Siberische Laika;Karelische Bear Dog
6,Lopende honden en zweethonden,Beagle;Basset Hound;Sint-Hubertushond;Dalmatiër;Rhodesian Ridgeback;Basset Artésien Normand;Basset Bleu de Gascogne;Basset Fauve de Bretagne;Grand Basset Griffon Vendéen;Petit Basset Griffon Vendéen;Bayerser Gebirgsschweisshund;Hannoveraner Schweisshund;Drever;Porcelaine;Duitse Brak;Alpenländische Dachsbracke
7,Voorstaande honden,Duitse Staande Hond Korthaar;Duitse Staande Hond Draadhaar;Duitse Staande Hond Langhaar;Weimaraner Korthaar;Weimaraner Langhaar;Vizsla Korthaar;Vizsla Draadhaar;Engelse Setter;Gordon Setter;Ierse Setter;Pointer;Epagneul Breton;Friese Stabij;Drentsche Patrijshond;Korthals Griffon;Grote Poedelzeiger;Spinone Italiano;Cesky Fousek
8,"Apporteerhonden, opstootjeshonden en waterhonden",Labrador Retriever;Golden Retriever;Flatcoated Retriever;Curly Coated Retriever;Nova Scotia Duck Tolling Retriever;Chesapeake Bay Retriever;Engelse Cocker Spaniel;Amerikaanse Cocker Spaniel;Engelse Springer Spaniel;Welsh Springer Spaniel;Clumber Spaniel;Sussex Spaniel;Field Spaniel;Nederlands Kooikerhondje;Wetterhoun;Portugese Waterhond;Spaanse Waterhond;Barbet;Lagotto Romagnolo
9,Gezelschapshonden,Grote Poedel;Middenslag Poedel;Dwergpoedel;Toy Poedel;Chihuahua Korthaar;Chihuahua Langhaar;Mopshond;Franse Bulldog;Boston Terrier;Cavalier King Charles Spaniel;King Charles Spaniel;Shih Tzu;Lhasa Apso;Tibetaanse Terrier;Tibetaanse Spaniel;Pekinees;Biewer Terrier;Vlinderhondje;Nachtvlinderhondje;Chinees Naakthondje;Bologneser;Maltezer;Havanezer;Bichon Frisé;Leeuwhondje;Coton de Tuléar
10,Windhonden,Greyhound;Whippet;Saluki;Afghaanse Windhond;Barsoi;Ierse Wolfshond;Schotse Hertenhond;Azawakh;Sloughi;Italiaans Windhondje;Spaanse Galgo;Chart Polski
