FCI_Group,Group_Name,Breeds
1,Herdershonden en Veehouders,Duitse Herdershond;Mechelse Herder;Tervuerense Herder;Groenendaeler;Laekenois;Nederlandse Herdershond;Nederlandse Schapendoes;Saarlooswolfhond;Australische Herder;Border Collie;Schotse Herdershond Korthaar;Schotse Herdershond Langhaar;Welsh Corgi Pembroke;Welsh Corgi Cardigan;Shetland Sheepdog;Vlaamse Koehond (Bouvier);Zwitserse Witte Herder;Poolse Laaglandherder;Komondor;Puli;Kuvasz;Briard;Beauceron;Old English Sheepdog
2,"Pinschers, Schnauzers, Molossers en Zwitserse Sennenhonden",Dobermann;Dwergpinscher;Duitse Pinscher;Dwergschnauzer;Middenslag Schnauzer;Riesenschnauzer;Duitse Boxer;Duitse Dog;Rottweiler;Engelse Bulldog;Bordeauxdog;Cane Corso;Mastiff;Bullmastiff;Mastino Napoletano;Dogo Argentino;Sint-Bernard;Newfoundlander;Landseer ECT;Hovawart;Leonberger;Bernersennenhond;Grote Zwitserse Sennenhond;Appenzeller Sennenhond;Entlebucher Sennenhond;Shar-Pei;Kaukasische Owcharka;Tibetaanse Mastiff
3,Terriërs,Airedale Terrier;Bedlington Terrier;Border Terrier;Cairn Terrier;Draadhaar Foxterrier;Gladhaar Foxterrier;Ierse Terrier;Jack Russell Terrier;Kerry Blue Terrier;Lakeland Terrier;Manchester Terrier;Norfolk Terrier;Norwich Terrier;Parson Russell Terrier;Schotse Terrier;Sealyham Terrier;Skye Terrier;Welsh Terrier;West Highland White Terrier;Bull Terrier;Miniatuur Bull Terrier;Staffordshire Bull Terrier;American Staffordshire Terrier;Yorkshire Terrier;Irish Soft Coated Wheaten Terrier
4,Dashonden,Standaard Teckel Korthaar;Standaard Teckel Langhaar;Standaard Teckel Ruwhaar;Dwergteckel Korthaar;Dwergteckel Langhaar;Dwergteckel Ruwhaar;Kaninchen Teckel Korthaar;Kaninchen Teckel Langhaar;Kaninchen Teckel Ruwhaar
5,Spitsen en oertypen,Akita;American Akita;Alaskan Malamute;Siberische Husky;Samojeed;Dwergkeeshond (Pomeranian);Grote Keeshond;Middenslag Keeshond;Kleine Keeshond;Chow Chow;Shiba;Eurasier;Basenji;Noorse Elandhond;Fins-Lapse Hond;Pharaohond;Podenco Ibicenco;Cirneco dell'Etna;Xoloitzuintle (Mexicaanse Naakthond);Peruaanse Naakthond;Karelische Berenhond
6,Lopende honden en zweethonden,Beagle;Basset Hound;Basset Artésien Normand;Basset Fauve de Bretagne;Grand Basset Griffon Vendéen;Petit Basset Griffon Vendéen;Sint-Hubertushond;Dalmatiër;Rhodesian Ridgeback;Duitse Brak;Alpenländische Dachsbracke;Bayerischer Gebirgsschweißhund;Hannoveraner Schweißhund
7,Staande honden,Duitse Staande Hond Korthaar;Duitse Staande Hond Langhaar;Duitse Staande Hond Ruwhaar;Weimaraner Korthaar;Weimaraner Langhaar;Vizsla Korthaar;Vizsla Ruwhaar;Engelse Setter;Ierse Setter;Gordon Setter;Engelse Pointer;Epagneul Breton;Stabijhoun;Wetterhoun;Drentsche Patrijshond;Poedelpointer;Spinone Italiano;Bracco Italiano;Cesky Fousek;Korthals Griffon
8,"Apporterende honden, opstootachtige honden en waterhonden",Labrador Retriever;Golden Retriever;Flatcoated Retriever;Curly Coated Retriever;Chesapeake Bay Retriever;Nova Scotia Duck Tolling Retriever;Engelse Cocker Spaniel;Amerikaanse Cocker Spaniel;Engelse Springer Spaniel;Welsh Springer Spaniel;Clumber Spaniel;Field Spaniel;Sussex Spaniel;Het Nederlandse Kooikerhondje;Spaanse Waterhond;Portugese Waterhond;Barbet;Ierse Water Spaniel
9,Gezelschapshonden,Mopshond;Franse Bulldog;Chihuahua Korthaar;Chihuahua Langhaar;Cavalier King Charles Spaniel;King Charles Spaniel;Pekingees;Shih Tzu;Lhasa Apso;Tibetaanse Terrier;Tibetaanse Spaniel;Grote Poedel;Middenslag Poedel;Dwergpoedel;Toypoedel;Maltezer;Bichon Frisé;Bolognese;Havanezer;Leeuwhondje;Coton de Tuléar;Vlinderhondje (Papillon);Nachtvlinderhondje (Phalène);Chinese Naakthond;Boston Terrier;Schipperke
10,Windhonden,Greyhound;Whippet;Italiaans Windhondje;Afghaanse Windhond;Saluki;Barsoi;Ierse Wolfshond;Schotse Deerhound;Sloughi;Azawakh;Galgo Español;Podenco Canario
